Method 1,Method 2,P-value,Adjusted P-value
XGB,Neural Network,0.4264760515323952,0.44678443493869974
XGB,Chi-Squared,1.918000090596738e-21,4.521000213549454e-21
XGB,ElasticNet,0.00011504991825808891,0.00015186589210067737
XGB,RF,0.0006942446940284115,0.0008811567270360607
XGB,Ridge,1.0111252807171985e-21,2.471639575086485e-21
XGB,Random,2.90311399272066e-61,1.1270913148209622e-60
XGB,Lasso,0.004619056492529799,0.005645513490869754
XGB,GBM,0.00035158200206012125,0.00045498847325427456
XGB,Mutual Info,4.6328837529910456e-05,6.240210769334878e-05
XGB,GENBAIT,0.0,0.0
XGB,ANOVA F,1.264055050718601e-30,3.3371053338971064e-30
Neural Network,Chi-Squared,4.482922680144204e-13,7.786128865513617e-13
Neural Network,ElasticNet,0.2746309159517133,0.2923490395615012
Neural Network,RF,0.5762538360211589,0.5762538360211589
Neural Network,Ridge,1.6700510079913377e-06,2.3961601419006147e-06
Neural Network,Random,1.2247762496509588e-68,6.218094805920253e-68
Neural Network,Lasso,0.44381212617869015,0.4528439282789919
Neural Network,GBM,0.0144866016727167,0.017073494828558966
Neural Network,Mutual Info,8.40769421629248e-06,1.180654932500646e-05
Neural Network,GENBAIT,0.0,0.0
Neural Network,ANOVA F,3.2228154732117514e-21,7.33468349075778e-21
Chi-Squared,ElasticNet,3.9571154834491905e-13,7.058638429936394e-13
Chi-Squared,RF,2.6642568673673278e-20,5.672288814394955e-20
Chi-Squared,Ridge,0.2308530872374457,0.2539383959611903
Chi-Squared,Random,8.1475403192638e-21,1.792458870238036e-20
Chi-Squared,Lasso,1.6519412466303467e-17,3.3038824932606934e-17
Chi-Squared,GBM,1.1367079628894383e-36,3.7511362775351465e-36
Chi-Squared,Mutual Info,0.1192817074354929,0.1357343567369402
Chi-Squared,GENBAIT,0.0,0.0
Chi-Squared,ANOVA F,0.009654887111827035,0.011585864534192442
ElasticNet,RF,0.1999377247806543,0.22365914975463025
ElasticNet,Ridge,1.7699458550646677e-10,2.9204106608567015e-10
ElasticNet,Random,3.0016287500224277e-65,1.3207166500098683e-64
ElasticNet,Lasso,0.2723541493477367,0.2923490395615012
ElasticNet,GBM,1.3180794549836341e-11,2.2305960007415344e-11
ElasticNet,Mutual Info,2.1973798805504546e-07,3.296069820825682e-07
ElasticNet,GENBAIT,0.0,0.0
ElasticNet,ANOVA F,1.2535893223845191e-23,3.182188279899164e-23
RF,Ridge,4.10136582300114e-18,8.459067009939851e-18
RF,Random,1.81650242464135e-67,8.56351143045208e-67
RF,Lasso,0.4459826566384011,0.4528439282789919
RF,GBM,1.909881643045558e-10,3.074443620512362e-10
RF,Mutual Info,9.563091204287935e-10,1.5027714749595327e-09
RF,GENBAIT,0.0,0.0
RF,ANOVA F,2.302882315894119e-35,7.23763013566723e-35
Ridge,Random,1.0675671921620716e-40,3.708391299089301e-40
Ridge,Lasso,2.0641756845130742e-14,4.006929269937144e-14
Ridge,GBM,4.239676910954388e-34,1.2719030732863163e-33
Ridge,Mutual Info,0.024176976286909794,0.027994393595369236
Ridge,GENBAIT,0.0,0.0
Ridge,ANOVA F,2.8279765465191868e-05,3.8884677514638815e-05
Random,Lasso,1.556248864051931e-64,6.419526564214215e-64
Random,GBM,8.134010062580149e-96,4.473705534419082e-95
Random,Mutual Info,1.4039924116359233e-33,4.02884778991178e-33
Random,GENBAIT,0.0,0.0
Random,ANOVA F,7.553034133312522e-14,1.384722924440629e-13
Lasso,GBM,3.042205824736881e-08,4.669432196107771e-08
Lasso,Mutual Info,5.853685345109136e-07,8.585405172826734e-07
Lasso,GENBAIT,0.0,0.0
Lasso,ANOVA F,1.6791299588700084e-31,4.617607386892523e-31
GBM,Mutual Info,5.238120662306832e-14,9.87759896320717e-14
GBM,GENBAIT,0.0,0.0
GBM,ANOVA F,7.874703144536818e-50,2.8873911529968335e-49
Mutual Info,GENBAIT,0.0,0.0
Mutual Info,ANOVA F,0.0007629525135693105,0.0009500918093504621
GENBAIT,ANOVA F,0.0,0.0
