Method 1,Method 2,P-value,Adjusted P-value
GENBAIT,Neural Network,3.789639123159131e-285,2.2737834738954788e-284
GENBAIT,Chi-Squared,0.0,0.0
GENBAIT,ElasticNet,0.0,0.0
GENBAIT,Lasso,0.0,0.0
GENBAIT,ANOVA F,0.0,0.0
GENBAIT,XGB,0.0,0.0
GENBAIT,Ridge,0.0,0.0
GENBAIT,Mutual Info,2.110768201094806e-304,1.3931070127225719e-303
GENBAIT,Random,0.0,0.0
GENBAIT,RF,0.0,0.0
GENBAIT,GBM,0.0,0.0
Neural Network,Chi-Squared,4.3733825131123143e-10,6.712633624777041e-10
Neural Network,ElasticNet,0.6801650597029026,0.7240466764579285
Neural Network,Lasso,0.646254292053326,0.6992259553363855
Neural Network,ANOVA F,5.07403198988913e-19,9.568174609505217e-19
Neural Network,XGB,0.17703277217033542,0.19473604938736896
Neural Network,Ridge,0.00033048156621560813,0.000403921914263521
Neural Network,Mutual Info,7.977979895538371e-18,1.4626296475153682e-17
Neural Network,Random,7.99217771193765e-130,2.9304651610438053e-129
Neural Network,RF,0.6959190774516106,0.7290580811397825
Neural Network,GBM,8.210743555703717e-05,0.00010625668130910692
Chi-Squared,ElasticNet,1.100891721276447e-17,1.912075094848566e-17
Chi-Squared,Lasso,1.021388317520426e-17,1.8219359177391383e-17
Chi-Squared,ANOVA F,0.0006808865516577942,0.000817063861989353
Chi-Squared,XGB,3.8944124984698524e-23,7.788824996939705e-23
Chi-Squared,Ridge,9.057239614319535e-05,0.0001149572720279018
Chi-Squared,Mutual Info,5.422567403225833e-05,7.157788972258099e-05
Chi-Squared,Random,2.053858927347575e-114,7.134457326575786e-114
Chi-Squared,RF,1.3537092790157569e-17,2.2908926260266653e-17
Chi-Squared,GBM,2.198004150221655e-34,5.579548996716509e-34
ElasticNet,Lasso,0.8108433461692754,0.8233178591872643
ElasticNet,ANOVA F,9.624198988416572e-34,2.2685611901267634e-33
ElasticNet,XGB,0.0939906269257704,0.1088312522298394
ElasticNet,Ridge,5.594835106952791e-09,8.205758156864094e-09
ElasticNet,Mutual Info,2.2821854363739544e-24,5.0208079600226994e-24
ElasticNet,Random,2.5885753009909e-217,1.2203283561814244e-216
ElasticNet,RF,0.7539078946729303,0.7774675163814594
ElasticNet,GBM,2.028015527728361e-07,2.8478515921291874e-07
Lasso,ANOVA F,6.081949463016227e-35,1.605634658236284e-34
Lasso,XGB,0.06478888714696183,0.07635833128034787
Lasso,Ridge,2.9822867604195826e-07,4.100644295576926e-07
Lasso,Mutual Info,1.1599274058290651e-22,2.251623787785832e-22
Lasso,Random,1.584843355869657e-205,6.537478842962335e-205
Lasso,RF,0.9178792290982805,0.9178792290982805
Lasso,GBM,9.659013585572918e-08,1.3858584709735055e-07
ANOVA F,XGB,4.3661610429229913e-39,1.2528983862300757e-38
ANOVA F,Ridge,1.5583480898450898e-13,2.5085603397506326e-13
ANOVA F,Mutual Info,0.10203683851670386,0.11611088520866301
ANOVA F,Random,1.7421720957138332e-78,5.74916791585565e-78
ANOVA F,RF,3.2656537166991e-34,7.982709085264467e-34
ANOVA F,GBM,2.7220835217522606e-50,8.555119639792819e-50
XGB,Ridge,3.005793471185599e-13,4.723389740434512e-13
XGB,Mutual Info,9.18987476042276e-26,2.0914887385789733e-25
XGB,Random,1.2788901478659393e-210,5.627116650610133e-210
XGB,RF,0.12669462045924038,0.14172618559847228
XGB,GBM,0.000327690805765181,0.000403921914263521
Ridge,Mutual Info,4.638083780680302e-14,7.652838238122498e-14
Ridge,Random,4.315012720965845e-177,1.6752402328455634e-176
Ridge,RF,8.586733855194359e-10,1.2880100782791538e-09
Ridge,GBM,2.087714492051696e-23,4.305911139856623e-23
Mutual Info,Random,2.07582359951484e-40,6.2274707985445205e-40
Mutual Info,RF,2.9553317449562607e-24,6.291996618293974e-24
Mutual Info,GBM,3.6959985602402505e-35,1.0163996040660688e-34
Random,RF,6.026134521979923e-218,3.0594221419282686e-217
Random,GBM,1.4877105144816992e-228,8.182407829649346e-228
RF,GBM,4.622192701027545e-07,6.225810576894244e-07
