Method 1,Method 2,P-value,Adjusted P-value
GA,Random,0.0,0.0
GA,chi_2,1.41298340748604e-08,1.7269797202607154e-08
GA,f_classif,2.1937638016908854e-19,3.14757415025214e-19
GA,mutual_info_classif,7.2061262366162835e-31,1.1890108290416868e-30
GA,lasso,6.235100263792059e-06,7.348511025183498e-06
GA,ridge,3.190733849794598e-79,9.572201549383795e-79
GA,elastic_net,3.57322875594259e-28,5.484490648656069e-28
GA,rf,2.0406258351185062e-12,2.748598063629008e-12
GA,gbm,1.5302695643239731e-19,2.244395361008494e-19
GA,xgb,3.6563564592058225e-131,1.340664035042135e-130
GA,nn,3.922387032222324e-11,5.0760302769935954e-11
Random,chi_2,0.0,0.0
Random,f_classif,0.0,0.0
Random,mutual_info_classif,0.0,0.0
Random,lasso,0.0,0.0
Random,ridge,0.0,0.0
Random,elastic_net,0.0,0.0
Random,rf,0.0,0.0
Random,gbm,0.0,0.0
Random,xgb,0.0,0.0
Random,nn,0.0,0.0
chi_2,f_classif,0.0007193531832746654,0.0008047001711208121
chi_2,mutual_info_classif,6.9850803474907445e-09,8.698401942158286e-09
chi_2,lasso,0.2707129130329382,0.2791726915652175
chi_2,ridge,3.6445806609778764e-42,7.074774224251172e-42
chi_2,elastic_net,3.3178540918379526e-08,3.981424910205543e-08
chi_2,rf,1.879237024340293e-37,3.3521525299043065e-37
chi_2,gbm,6.801090379488561e-52,1.447974080794339e-51
chi_2,xgb,3.680417076420333e-77,1.0121146960155916e-76
chi_2,nn,1.8260186325158924e-34,3.0901853781038178e-34
f_classif,mutual_info_classif,0.014847882747383,0.0163326710221213
f_classif,lasso,1.0815636761455832e-05,1.2523368881685699e-05
f_classif,ridge,2.0170439993505566e-24,3.025565999025835e-24
f_classif,elastic_net,0.027268878906838812,0.029504032915596095
f_classif,rf,2.9793851475059878e-58,6.78066964604811e-58
f_classif,gbm,1.4385401053377667e-75,3.7977458780917043e-75
f_classif,xgb,2.2842283445154078e-51,4.7112209605630285e-51
f_classif,nn,3.1011036957627796e-54,6.822428130678115e-54
mutual_info_classif,lasso,3.683692894404757e-12,4.862474620614279e-12
mutual_info_classif,ridge,1.1924460997527236e-14,1.639613387159995e-14
mutual_info_classif,elastic_net,0.7895613113028181,0.7895613113028181
mutual_info_classif,rf,5.104978627347136e-78,1.4649069104561346e-77
mutual_info_classif,gbm,2.794676194281942e-96,9.707822569610955e-96
mutual_info_classif,xgb,2.7493402549696098e-39,5.040457134110952e-39
mutual_info_classif,nn,8.755562167872538e-75,2.222565781075337e-74
lasso,ridge,5.209499591862918e-46,1.0418999183725835e-45
lasso,elastic_net,1.1472388808380803e-10,1.4561108872175635e-10
lasso,rf,1.356267300799891e-30,2.1832595573851903e-30
lasso,gbm,1.326120506505824e-41,2.5006843836966965e-41
lasso,xgb,7.568823567647465e-86,2.3787731212606318e-85
lasso,nn,2.0633820579956824e-28,3.242457519707501e-28
ridge,elastic_net,7.566251419890614e-15,1.0624948802399586e-14
ridge,rf,8.462934111001602e-147,3.4909603207881607e-146
ridge,gbm,2.0764156051272142e-175,9.136228662559743e-175
ridge,xgb,0.00011302268685684654,0.00012861202297503226
ridge,nn,1.9813915126188467e-136,7.692461166637876e-136
elastic_net,rf,6.063647002584986e-72,1.4822248228541074e-71
elastic_net,gbm,4.430772036975566e-90,1.4621547722019367e-89
elastic_net,xgb,3.3552841464125664e-36,5.827598780611299e-36
elastic_net,nn,2.3477702886628735e-67,5.534029966133916e-67
rf,gbm,0.05491498669900314,0.05845788906668076
rf,xgb,1.7502735304876904e-221,8.886004077860583e-221
rf,nn,0.7614905295961912,0.7732057685130557
gbm,xgb,9.996575112807562e-268,5.498116312044159e-267
gbm,nn,0.062153323874560365,0.06511300596382515
xgb,nn,1.5484925064663074e-211,7.300036101912592e-211
