Method 1,Method 2,P-value,Adjusted P-value
RF,GENBAIT,0.0,0.0
RF,Ridge,8.387936901316895e-16,1.9089787430583277e-15
RF,Neural Network,6.62755259672156e-14,1.4580615712787434e-13
RF,ANOVA F,0.15725655967061905,0.17591411759764164
RF,Chi-Squared,0.040583116599900826,0.04783010170702597
RF,Lasso,0.00011935603120973232,0.0001712499578226594
RF,GBM,0.28356604674228314,0.3068091653277162
RF,Random,3.6855848307356247e-16,9.355715339559663e-16
RF,XGB,3.1885271564493254e-05,4.7827907346739885e-05
RF,ElasticNet,0.26527547871842283,0.29180302659026514
RF,Mutual Info,1.875729410789307e-12,3.868691909752945e-12
GENBAIT,Ridge,0.0,0.0
GENBAIT,Neural Network,4.2532571386197755e-257,2.807149711489052e-256
GENBAIT,ANOVA F,0.0,0.0
GENBAIT,Chi-Squared,7.797937640940616e-286,5.718487603356452e-285
GENBAIT,Lasso,0.0,0.0
GENBAIT,GBM,0.0,0.0
GENBAIT,Random,0.0,0.0
GENBAIT,XGB,0.0,0.0
GENBAIT,ElasticNet,0.0,0.0
GENBAIT,Mutual Info,4.542047518857386e-255,2.725228511314432e-254
Ridge,Neural Network,4.024263742917531e-50,2.043087746404285e-49
Ridge,ANOVA F,2.8026892188436207e-09,5.138263567879972e-09
Ridge,Chi-Squared,6.415881589491372e-20,2.1172409245321526e-19
Ridge,Lasso,5.226447148302754e-31,1.8155026936209563e-30
Ridge,GBM,5.284903375980976e-18,1.5165374904988886e-17
Ridge,Random,0.6495462273834063,0.659539246266228
Ridge,XGB,4.320270886707513e-37,1.6772816383687993e-36
Ridge,ElasticNet,3.237578387062814e-12,6.475156774125628e-12
Ridge,Mutual Info,6.046796772718062e-48,2.6605905799959475e-47
Neural Network,ANOVA F,1.2954704893894675e-18,3.8864114681684026e-18
Neural Network,Chi-Squared,2.1134968763842798e-09,3.985451252610357e-09
Neural Network,Lasso,3.284802010000388e-05,4.817709614667236e-05
Neural Network,GBM,2.3737159437338034e-10,4.607801537836207e-10
Neural Network,Random,1.4046898213006153e-51,7.725794017153384e-51
Neural Network,XGB,0.003528692052792474,0.004657873509686066
Neural Network,ElasticNet,3.8695173220984995e-17,1.0215525730340039e-16
Neural Network,Mutual Info,0.38642003129220714,0.4113503558917044
ANOVA F,Chi-Squared,0.0023058849212335437,0.0031705917666961223
ANOVA F,Lasso,6.645093596755713e-07,1.0442289937758978e-06
ANOVA F,GBM,0.02233664111792083,0.027300339144125458
ANOVA F,Random,5.620430128906312e-08,9.273709712695414e-08
ANOVA F,XGB,1.5866341563015637e-08,2.7557330083132422e-08
ANOVA F,ElasticNet,0.548422636729825,0.5655608441276321
ANOVA F,Mutual Info,6.539350271739053e-16,1.5985078442028793e-15
Chi-Squared,Lasso,0.0898266676684385,0.1022165528640852
Chi-Squared,GBM,0.44069938981957857,0.4616850750490823
Chi-Squared,Random,4.1341867458165617e-19,1.299315834399491e-18
Chi-Squared,XGB,0.05663409297114547,0.0655763181771158
Chi-Squared,ElasticNet,0.006211873638351714,0.008038895296690454
Chi-Squared,Mutual Info,3.3805714395838417e-07,5.441895488110575e-07
Lasso,GBM,0.009244075422806173,0.011511490149154858
Lasso,Random,5.010128986934926e-32,1.8370472952094732e-31
Lasso,XGB,0.787175822940633,0.787175822940633
Lasso,ElasticNet,1.102532019300058e-06,1.6922584482279962e-06
Lasso,Mutual Info,0.0003319502098615959,0.00046614284789075165
GBM,Random,6.9172174735276534e-18,1.9022348052201045e-17
GBM,XGB,0.002616366022907094,0.0035240848471809836
GBM,ElasticNet,0.0384123501566999,0.04609482018803988
GBM,Mutual Info,7.256541338678777e-09,1.2944100766291875e-08
Random,XGB,3.14195372116517e-41,1.2960559099806326e-40
Random,ElasticNet,1.6970722501245654e-12,3.6131215647813326e-12
Random,Mutual Info,2.1255032383879086e-48,1.0020229552400141e-47
XGB,ElasticNet,2.575718989716416e-08,4.358909059520088e-08
XGB,Mutual Info,0.0063593333143012725,0.008071461514305461
ElasticNet,Mutual Info,7.684976943711338e-16,1.8114588510176722e-15
