source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0005654,nucleoplasm,2.3601188601337197e-09,True,"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]",4229,32,24,22115,0.75,0.005675100496571293,query_1,"['GO:0031981', 'GO:0110165']"
GO:CC,GO:0031981,nuclear lumen,8.609944249834122e-08,True,"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]",5524,32,25,22115,0.78125,0.004525706010137582,query_1,"['GO:0005634', 'GO:0070013']"
GO:CC,GO:0005634,nucleus,8.953845417380425e-08,True,"""A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."" [GOC:go_curators]",10058,32,31,22115,0.96875,0.003082123682640684,query_1,['GO:0043231']
GO:CC,GO:0070013,intracellular organelle lumen,5.8946203400675085e-06,True,"""An organelle lumen that is part of an intracellular organelle."" [GOC:mah]",6663,32,25,22115,0.78125,0.0037520636349992497,query_1,"['GO:0043229', 'GO:0043233']"
GO:CC,GO:0031974,membrane-enclosed lumen,5.8946203400675085e-06,True,"""The enclosed volume within a sealed membrane or between two sealed membranes. Encompasses the volume enclosed by the membranes of a particular organelle, e.g. endoplasmic reticulum lumen, or the space between the two lipid bilayers of a double membrane surrounding an organelle, e.g. nuclear envelope lumen."" [GOC:add, GOC:mah]",6663,32,25,22115,0.78125,0.0037520636349992497,query_1,['GO:0110165']
GO:CC,GO:0043233,organelle lumen,5.8946203400675085e-06,True,"""The internal volume enclosed by the membranes of a particular organelle; includes the volume enclosed by a single organelle membrane, e.g. endoplasmic reticulum lumen, or the volume enclosed by the innermost of the two lipid bilayers of an organelle envelope, e.g. nuclear lumen."" [GOC:jl, GOC:mah]",6663,32,25,22115,0.78125,0.0037520636349992497,query_1,"['GO:0031974', 'GO:0043226']"
GO:CC,GO:0005667,transcription regulator complex,7.251648460695107e-06,True,"""A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription."" [GOC:jl]",519,32,9,22115,0.28125,0.017341040462427744,query_1,['GO:0032991']
GO:CC,GO:0016591,"RNA polymerase II, holoenzyme",3.613050333465684e-05,True,"""A nuclear DNA-directed RNA polymerase complex containing an RNA polymerase II core enzyme as well as additional proteins and transcription factor complexes, that are capable of promoter recognition and transcription initiation from an RNA polymerase II promoter in vivo. These additional components may include general transcription factor complexes TFIIA, TFIID, TFIIE, TFIIF, or TFIIH, as well as Mediator, SWI/SNF, GCN5, or SRBs and confer the ability to recognize promoters."" [GOC:jl, GOC:krc, PMID:16858867, Wikipedia:Rna_polymerase_ii]",89,32,5,22115,0.15625,0.056179775280898875,query_1,"['GO:0005654', 'GO:0055029']"
GO:CC,GO:0055029,nuclear DNA-directed RNA polymerase complex,0.00011922893045525973,True,"""A protein complex, located in the nucleus, that possesses DNA-directed RNA polymerase activity."" [GOC:mtg_sensu]",113,32,5,22115,0.15625,0.04424778761061947,query_1,"['GO:0000428', 'GO:0140513']"
GO:CC,GO:0000428,DNA-directed RNA polymerase complex,0.0001478626341026829,True,"""A protein complex that possesses DNA-directed RNA polymerase activity."" [GOC:krc]",118,32,5,22115,0.15625,0.0423728813559322,query_1,['GO:0030880']
GO:CC,GO:0030880,RNA polymerase complex,0.00017446757733066392,True,"""Any complex that possesses RNA polymerase activity; generally comprises a catalytic subunit and one or more additional subunits."" [GOC:mah]",122,32,5,22115,0.15625,0.040983606557377046,query_1,"['GO:0061695', 'GO:0140535']"
GO:CC,GO:0140513,nuclear protein-containing complex,0.0002643544183043391,True,"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together in the nucleus."" [GOC:pg]",2679,32,15,22115,0.46875,0.005599104143337066,query_1,"['GO:0005634', 'GO:0032991']"
GO:CC,GO:0043231,intracellular membrane-bounded organelle,0.00035388611509853816,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",14608,32,32,22115,1.0,0.002190580503833516,query_1,"['GO:0043227', 'GO:0043229']"
GO:CC,GO:0005694,chromosome,0.0019311002517646506,True,"""A structure composed of a very long molecule of DNA and associated proteins (e.g. histones) that carries hereditary information."" [ISBN:0198547684]",1956,32,12,22115,0.375,0.006134969325153374,query_1,['GO:0043232']
GO:CC,GO:0000785,chromatin,0.003084775243535496,True,"""The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome."" [GOC:elh, PMID:20404130]",1371,32,10,22115,0.3125,0.007293946024799417,query_1,"['GO:0005694', 'GO:0110165']"
GO:CC,GO:1902494,catalytic complex,0.003139599345870419,True,"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]",1699,32,11,22115,0.34375,0.006474396703943496,query_1,['GO:0032991']
GO:CC,GO:0043227,membrane-bounded organelle,0.003364676072429204,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",15672,32,32,22115,1.0,0.002041858090862685,query_1,['GO:0043226']
GO:CC,GO:0090575,RNA polymerase II transcription regulator complex,0.006712618578202525,True,"""A transcription factor complex that acts at a regulatory region of a gene transcribed by RNA polymerase II."" [GOC:tb]",258,32,5,22115,0.15625,0.01937984496124031,query_1,"['GO:0005667', 'GO:0140513']"
GO:CC,GO:0043229,intracellular organelle,0.006826493111492429,True,"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]",16022,32,32,22115,1.0,0.0019972537760579202,query_1,"['GO:0005622', 'GO:0043226']"
GO:CC,GO:0005669,transcription factor TFIID complex,0.008865589340782746,True,"""A complex composed of TATA binding protein (TBP) and TBP associated factors (TAFs); the total mass is typically about 800 kDa. Most of the TAFs are conserved across species. In TATA-containing promoters for RNA polymerase II (Pol II), TFIID is believed to recognize at least two distinct elements, the TATA element and a downstream promoter element. TFIID is also involved in recognition of TATA-less Pol II promoters. Binding of TFIID to DNA is necessary but not sufficient for transcription initiation from most RNA polymerase II promoters."" [GOC:krc, GOC:mah, ISBN:0471953393, ISBN:0879695501]",47,32,3,22115,0.09375,0.06382978723404255,query_1,"['GO:0016591', 'GO:0090575']"
