source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0005684,U2-type spliceosomal complex,3.576867480116098e-39,True,"""Any spliceosomal complex that forms during the splicing of a messenger RNA primary transcript to excise an intron that has canonical consensus sequences near the 5' and 3' ends."" [GOC:krc, GOC:mah, PMID:11343900]",94,90,26,22115,0.28888888888888886,0.2765957446808511,query_1,['GO:0005681']
GO:CC,GO:0005681,spliceosomal complex,1.9927129882481223e-36,True,"""Any of a series of ribonucleoprotein complexes that contain snRNA(s) and small nuclear ribonucleoproteins (snRNPs), and are formed sequentially during the spliceosomal splicing of one or more substrate RNAs, and which also contain the RNA substrate(s) from the initial target RNAs of splicing, the splicing intermediate RNA(s), to the final RNA products. During cis-splicing, the initial target RNA is a single, contiguous RNA transcript, whether mRNA, snoRNA, etc., and the released products are a spliced RNA and an excised intron, generally as a lariat structure. During trans-splicing, there are two initial substrate RNAs, the spliced leader RNA and a pre-mRNA."" [GOC:editors, GOC:mah, ISBN:0198547684, PMID:19239890]",207,90,30,22115,0.3333333333333333,0.14492753623188406,query_1,"['GO:0140513', 'GO:1990904']"
GO:CC,GO:0071011,precatalytic spliceosome,5.6058210028539964e-33,True,"""A spliceosomal complex that is formed by the recruitment of a preassembled U5-containing tri-snRNP to the prespliceosome. Although all 5 snRNPs are present, the precatalytic spliceosome is catalytically inactive. The precatalytic spliceosome includes many proteins in addition to those found in the associated snRNPs."" [GOC:ab, GOC:krc, GOC:mah, PMID:18322460, PMID:19239890]",52,90,20,22115,0.2222222222222222,0.38461538461538464,query_1,['GO:0005681']
GO:CC,GO:0071005,U2-type precatalytic spliceosome,4.218307555249565e-31,True,"""A spliceosomal complex that is formed by the recruitment of the preassembled U4/U6.U5 tri-snRNP to the prespliceosome. Although all 5 snRNPs are present, the precatalytic spliceosome is catalytically inactive. The precatalytic spliceosome includes many proteins in addition to those found in the U1, U2 and U4/U6.U5 snRNPs."" [GOC:ab, GOC:krc, GOC:mah, PMID:18322460, PMID:19239890]",50,90,19,22115,0.2111111111111111,0.38,query_1,"['GO:0005684', 'GO:0071011']"
GO:CC,GO:0071013,catalytic step 2 spliceosome,1.650912132081773e-29,True,"""A spliceosomal complex that contains three snRNPs, including U5, bound to a splicing intermediate in which the first catalytic cleavage of the 5' splice site has occurred. The precise subunit composition differs significantly from that of the catalytic step 1, or activated, spliceosome, and includes many proteins in addition to those found in the associated snRNPs."" [GOC:ab, GOC:krc, GOC:mah, ISBN:0879695897, ISBN:0879697393, PMID:18322460, PMID:19239890]",89,90,21,22115,0.23333333333333334,0.23595505617977527,query_1,"['GO:0005681', 'GO:1902494']"
GO:CC,GO:0005654,nucleoplasm,2.7426837678393668e-21,True,"""That part of the nuclear content other than the chromosomes or the nucleolus."" [GOC:ma, ISBN:0124325653]",4229,90,61,22115,0.6777777777777778,0.014424213762118705,query_1,"['GO:0031981', 'GO:0110165']"
GO:CC,GO:0016604,nuclear body,1.1856920128816844e-19,True,"""Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins."" [GOC:ma, PMID:10330182]",894,90,32,22115,0.35555555555555557,0.035794183445190156,query_1,"['GO:0005654', 'GO:0110165']"
GO:CC,GO:0071007,U2-type catalytic step 2 spliceosome,2.405644898997863e-19,True,"""A spliceosomal complex that contains the U2, U5 and U6 snRNPs bound to a splicing intermediate in which the first catalytic cleavage of the 5' splice site has occurred. The precise subunit composition differs significantly from that of the catalytic step 1, or activated, spliceosome, and includes many proteins in addition to those found in the U2, U5 and U6 snRNPs."" [GOC:ab, GOC:krc, GOC:mah, ISBN:0879695897, ISBN:0879697393, PMID:18322460, PMID:19239890]",30,90,12,22115,0.13333333333333333,0.4,query_1,"['GO:0005684', 'GO:0071013']"
GO:CC,GO:0034719,SMN-Sm protein complex,9.718785778705906e-18,True,"""A protein complex formed by the association of several methylated Sm proteins with the SMN complex; the latter contains the survival motor neuron (SMN) protein and at least eight additional integral components, including the Gemin2-8 and unrip proteins; additional proteins, including galectin-1 and galectin-3, are also found in the SMN-SM complex. The SMN-Sm complex is involved in spliceosomal snRNP assembly in the cytoplasm."" [GOC:vw, PMID:11522829, PMID:17401408]",18,90,10,22115,0.1111111111111111,0.5555555555555556,query_1,"['GO:0005737', 'GO:0120114']"
GO:CC,GO:0031981,nuclear lumen,1.3206654664156932e-17,True,"""The volume enclosed by the nuclear inner membrane."" [GOC:mah, GOC:pz]",5524,90,64,22115,0.7111111111111111,0.011585807385952208,query_1,"['GO:0005634', 'GO:0070013']"
